,Predicted,Actual
237716,4.821129222662648,3.0
225961,3.2622883676999663,2.0
437449,4.085329237890392,8.0
273360,3.94889872023964,8.0
304758,5.915936611638699,6.0
265676,6.454497463230041,18.0
200042,4.183026695437093,4.0
1721,11.365302937778551,13.0
218051,5.662752966513608,4.0
554281,6.101044304361494,5.0
527787,5.997122853150131,2.0
418775,5.203078825239345,2.0
358379,5.095095554167074,6.0
364416,7.62975939930493,7.0
528672,7.886020036662785,10.0
299058,8.238861019068622,10.0
39898,4.619096654789473,4.0
36656,6.38955093096024,3.0
53239,5.450137868325783,13.0
560826,4.583948266330481,8.0
460761,10.0856136723404,2.0
188744,7.271773252195089,3.0
448222,7.680866825869998,23.0
480253,5.005571439400001,5.0
361385,9.673405059978904,45.0
426726,7.7756692516346675,24.0
19186,8.368879454408784,1.0
227270,7.769676593816712,12.0
424888,8.968959910605918,10.0
479970,10.297064069462635,7.0
393804,4.717804220401945,6.0
18701,8.51549510035079,2.0
1826,8.685870136315089,1.0
75065,4.883050463439531,5.0
395474,5.0194654333372455,1.0
481618,8.199301806900621,8.0
540590,6.146871222174923,2.0
233494,6.599360682538645,10.0
245756,2.2395103577766804,2.0
471342,2.4243595652822023,1.0
561107,10.28175239085158,6.0
57913,8.583624693419779,80.0
444174,6.871645093190409,3.0
195318,12.579929674114283,2.0
517080,4.734311013248316,8.0
302182,4.837445429812533,2.0
200378,3.5164604509411674,5.0
242342,6.657969383957607,34.0
434821,10.65933954121192,19.0
127453,5.986870625770052,5.0
49433,5.644249274016147,9.0
94742,6.741692821215111,15.0
292721,7.823577836450113,3.0
480619,9.17873482605728,9.0
53321,9.15954092837842,14.0
567577,5.575403834729059,4.0
52070,5.86645268338043,15.0
361620,5.12466676696431,5.0
404766,8.129763184622107,2.0
189827,8.117340309428982,3.0
331884,6.390414124066865,8.0
16319,3.8770567490346366,5.0
42620,5.185716004187498,2.0
140151,5.739727592260351,9.0
72021,5.255061669258339,6.0
37603,5.424717247770104,11.0
365631,8.011553217555274,4.0
538292,10.18557981291167,8.0
4794,4.7415754289509096,4.0
276241,11.707429379280256,14.0
342724,11.795160364906678,5.0
26635,6.159792528062553,14.0
412060,3.6340439222997247,4.0
109546,6.454621430717907,10.0
440117,7.758299221315724,2.0
148846,6.104920469008448,4.0
467497,9.451716343955468,5.0
242305,5.9743330085220805,5.0
179281,6.265548980854419,15.0
207349,8.368914020582451,4.0
214594,6.657396520793554,6.0
268842,12.395264333225668,9.0
66960,4.81377333026694,8.0
136066,7.291923660386146,2.0
338821,7.052517147271828,7.0
240375,8.33881657295126,2.0
17208,7.277401860937971,39.0
237245,8.355116336486844,5.0
337940,4.6217503867301275,10.0
421516,4.9016021618090235,3.0
294747,4.720447580086329,4.0
376573,3.942127223157968,2.0
86933,6.894408111840335,14.0
362962,6.699030047497217,4.0
37143,9.58206018056353,27.0
504773,9.640026065924872,2.0
278217,8.851459148747836,5.0
486069,8.161216350016275,19.0
351602,6.089252386748285,25.0
18517,5.937853885285904,2.0
102962,7.635159595306504,8.0
224921,3.711236897773915,2.0
192141,2.7884874110536657,3.0
107260,6.984815659434389,4.0
245746,3.334214872599432,1.0
551889,3.6760142291282136,3.0
334590,6.788792489597995,3.0
495409,11.34237859252653,21.0
354166,2.962233284124977,3.0
229143,9.97672747308252,5.0
257778,7.11387086985053,6.0
315447,10.476882791617072,34.0
428852,4.067855354112908,6.0
496058,7.802103297671465,11.0
307027,5.506824460795656,1.0
495118,3.982739408913858,4.0
213141,10.148555767513244,7.0
233603,8.725264138858165,7.0
180184,8.73944576178269,10.0
171932,5.384386451942191,3.0
428161,5.4216596026230945,5.0
546273,9.447914902234288,14.0
346822,4.2485660308748265,2.0
20735,6.779975023937823,8.0
397250,5.721718137953758,14.0
65361,13.708854922323098,1.0
32359,9.290280656338041,20.0
375705,5.213437225468397,7.0
485663,3.1570568622482824,2.0
350054,6.849135065508108,11.0
214080,5.670527231178312,3.0
71995,7.107901868693261,8.0
315196,8.601118811350943,10.0
380731,5.83685054637499,7.0
398934,5.04987602874121,9.0
337568,3.0753882538076596,10.0
167981,5.445797022581473,1.0
439369,9.8118977052427,52.0
53907,4.781259978270555,6.0
26913,6.4063177911066305,26.0
222401,9.56584577613296,5.0
103149,7.1205016319740935,6.0
387267,10.750516945125355,3.0
312709,8.386942743644454,20.0
287833,9.62342345914044,3.0
177291,6.739145302811494,5.0
8319,6.949831089232248,3.0
226167,5.391770836687101,15.0
213314,3.8318899733883427,3.0
467769,4.487511365668524,15.0
177739,6.5693730531811525,9.0
376510,10.328766884869765,18.0
397961,4.547285179367918,3.0
451576,14.906055093584655,2.0
387974,4.4654535716822465,3.0
150958,4.146794137227516,5.0
197407,4.661387717879052,6.0
500883,5.271226617924185,1.0
99086,4.176689762260821,1.0
25589,5.965461506229076,3.0
447984,7.616378359098235,7.0
390712,5.4514560735237865,7.0
412234,5.615079792692995,4.0
248693,4.786835245216025,6.0
554958,13.71190288914704,18.0
466342,4.81802370366654,3.0
122790,8.825285641873506,11.0
107301,7.315643148392155,3.0
210759,7.758091218900745,6.0
43966,9.171339906939238,9.0
33326,10.553375164025965,20.0
376278,12.658411479588835,12.0
62093,9.681302925087039,14.0
173467,7.254889254267937,5.0
25060,8.518773064588572,30.0
126620,7.077136092958881,5.0
73953,5.802853663932865,8.0
325158,5.4542404541191445,4.0
168207,4.780230397321702,4.0
41334,8.63056163683109,12.0
393792,3.8421101332835406,3.0
460370,4.704335072112144,3.0
135097,9.312648955773625,6.0
166243,5.3934306388837285,4.0
255957,12.093939685585838,14.0
82444,4.1633147261457,1.0
399756,10.30947470295041,29.0
74853,4.014411278536272,1.0
175279,7.483019333452148,6.0
333026,4.717079740877807,2.0
476267,5.159687625491415,22.0
542012,7.340179332535854,2.0
208784,2.2003132760441986,5.0
236915,11.244306255449146,10.0
309954,4.386516005827389,3.0
568083,3.205404635387822,20.0
10635,8.855642490662376,6.0
53892,8.632087824630162,2.0
140754,6.582130496517948,40.0
507292,4.225356309107383,4.0
435502,7.0507964344596985,17.0
259815,6.134820614831597,2.0
388311,8.785009236356018,9.0
558428,11.016236301743902,3.0
114016,8.003131061805675,3.0
140606,7.090962294852488,6.0
211856,4.014486536008462,1.0
31749,4.497217511757981,5.0
34331,5.300626030162448,7.0
357375,6.376591807168552,23.0
421636,4.2146741970811945,1.0
489575,5.204347829573862,9.0
359566,6.126221394728532,7.0
257754,5.403171608087405,9.0
76515,8.634744484341809,22.0
223680,9.374650216637178,31.0
53940,6.039232125795479,2.0
293840,10.304202616577072,4.0
272765,8.472533080937296,1.0
168361,5.909850186443691,10.0
405481,13.200309036783665,23.0
380142,5.526071298944544,5.0
109583,9.769647828568168,56.0
272901,8.989566767271867,10.0
173010,5.350692873618755,4.0
433976,2.6508931311918786,3.0
402624,10.645087112337478,8.0
531577,3.8291999387570286,5.0
532344,11.995802893161908,11.0
399106,6.829620093490121,15.0
499070,7.631254471515831,18.0
277037,4.7018376833846105,7.0
17490,2.9232093466937386,1.0
171392,8.83738598676041,65.0
523180,4.476866144379073,2.0
12393,8.400070820104816,9.0
195223,4.473161716975483,2.0
279898,5.1800852099481745,3.0
14823,11.166872792055642,6.0
275707,8.654180238850131,4.0
253550,3.2072941392648318,3.0
276354,6.311149472026727,3.0
28143,3.0526699715305767,4.0
51224,5.262686007291904,4.0
345416,6.541860738055107,8.0
167613,9.248136661020908,7.0
214031,7.786260320300471,6.0
447291,5.736214622538228,10.0
497028,5.918737334872958,4.0
181787,5.115578856233697,1.0
288370,8.806570748953845,17.0
297539,6.2148426510181025,11.0
443281,4.745653416379355,7.0
223350,4.741618647986115,1.0
502344,2.627818535974484,2.0
26927,8.249929730594317,6.0
273426,8.691160818457433,2.0
291959,10.15803513149558,20.0
8596,6.6417855262482135,11.0
365710,5.972577817494312,5.0
281070,2.788728977167011,4.0
466518,10.898534935476619,10.0
352894,3.473157613298781,3.0
50811,9.044400088817838,27.0
79540,6.180575329787644,2.0
453031,7.632163680518261,33.0
194942,6.170867432054138,15.0
484651,6.277447704201904,7.0
77128,4.20626517627079,4.0
337567,10.623202979263624,3.0
535946,5.071949896854221,3.0
377778,2.7651791455978127,2.0
34970,5.9733993576671764,6.0
242528,7.383917161441332,2.0
82547,5.695688413980861,9.0
360489,2.8337233075567383,1.0
497717,10.243651284322482,17.0
435065,3.919574805220236,10.0
417064,3.9167397889380027,3.0
34237,7.980001510853754,14.0
290839,4.973041498015391,1.0
505268,7.2317831923226095,4.0
464835,7.044123110548753,2.0
502598,11.397668675866498,12.0
502265,10.066892158954374,7.0
356599,4.250449602489425,3.0
305903,8.783414524175896,8.0
178344,9.510623143563748,2.0
466068,5.13545952374966,8.0
494730,4.780230632302846,12.0
504785,6.9079439581009865,1.0
85325,3.1766271884589514,3.0
9551,8.670211386418714,10.0
315621,5.177608946901728,3.0
535851,14.197765945493302,17.0
561164,6.236147908630301,7.0
210844,10.233336719158274,16.0
179451,4.568060806091125,1.0
3582,7.140852747620102,9.0
62822,7.377684063917513,2.0
68595,4.097916136438926,3.0
101259,7.431949583012852,43.0
275777,6.167411486190872,10.0
478201,5.580964807170858,6.0
137188,5.731727574146134,7.0
402621,3.8749472298027285,12.0
389960,9.029463988319776,15.0
390001,5.152328153130384,5.0
181141,4.0313304669261925,6.0
527990,10.48402745764372,6.0
426007,7.371484364859157,5.0
343395,8.627967731746821,4.0
445967,5.439796225261716,2.0
412513,6.188540726294605,3.0
38015,13.460840348549937,10.0
343417,6.444701404930129,8.0
296899,10.849927496484383,20.0
375352,7.2501285562357225,6.0
113591,7.904759717119305,19.0
248429,3.357070594864581,1.0
65466,11.013136701443727,17.0
190878,5.419936625465084,8.0
420829,6.6225282374562084,13.0
218272,7.434696035030925,7.0
321984,7.593651180849406,17.0
199202,7.229995565287368,1.0
79889,3.496794984366261,5.0
278609,9.74514757549332,41.0
432205,4.441216852153275,4.0
98954,8.23805236471162,6.0
27075,11.938550599690188,24.0
280484,7.656979136641212,16.0
443443,6.373419467153781,13.0
65113,9.121325677628306,9.0
48039,5.015561039808063,6.0
252827,5.526837953280847,4.0
447884,4.715338473192105,3.0
113250,8.331418353277172,10.0
374102,2.781551402817513,2.0
442090,11.266347606663771,9.0
453612,11.311349608189175,8.0
320141,7.292389631999754,8.0
104996,4.104094612292101,19.0
125209,5.054413596513314,9.0
389840,6.99909471638648,6.0
191146,4.911906914224801,2.0
424379,4.933262935554467,2.0
345554,7.847739452131464,5.0
29572,6.577209392346504,5.0
74090,10.757873304193708,7.0
116038,3.800848497912284,2.0
2796,9.329442802747621,9.0
320667,6.291539667244251,22.0
40250,8.11543100994777,4.0
248471,5.674327301754374,8.0
203707,8.524715667185887,24.0
272800,4.8328234575849365,8.0
112326,8.168871716928606,11.0
37411,7.0930814585265125,14.0
148979,6.73957172618816,21.0
438911,12.8931588080668,89.0
32096,8.773831839949025,18.0
345673,4.013377731618675,12.0
233126,6.689320668140226,9.0
314127,6.448311388327966,6.0
360928,4.064798762535929,8.0
102392,9.423516504795543,17.0
37188,13.51160127964431,19.0
163023,6.0098013468006,8.0
82575,9.344735261753613,9.0
536642,5.207821270748354,2.0
265287,7.523955787376053,2.0
284305,12.414968048153696,10.0
465678,8.210511778648879,11.0
376799,12.26118051932474,11.0
558145,5.532060253845202,6.0
103362,4.249047540210995,3.0
542357,6.148588996446961,7.0
202286,6.7035767742384,12.0
484674,8.753107054478619,1.0
389609,8.469015405482423,6.0
198720,4.640626918536327,7.0
41357,9.092036628507344,9.0
280819,10.372608808004998,9.0
420513,5.293078732836193,4.0
296062,7.830918112758809,7.0
456396,5.8595356348400855,4.0
541614,5.662010816910652,9.0
488106,7.93156596052313,2.0
54735,9.485876615336338,2.0
533604,6.205180675837255,7.0
141030,8.704590866618332,20.0
312153,4.408946361896369,4.0
288714,3.296251783138132,3.0
551824,7.562111119344081,11.0
232258,10.829157069629673,2.0
2823,5.436458730058803,4.0
96964,10.300351775819081,17.0
550819,6.5018152697089135,11.0
508947,5.331267959865272,3.0
219568,10.244206472303972,5.0
58799,11.743989733680337,10.0
48337,7.7917317845095795,14.0
374405,7.080451416960614,10.0
228977,1.9923246127773382,1.0
203492,4.624264281117576,3.0
158700,4.086594932076196,1.0
103176,4.670431214896894,1.0
98479,3.6685656382169327,2.0
162733,6.560637053104415,6.0
256865,5.874345281244587,16.0
252553,10.58486142578613,37.0
372839,5.218378612767992,10.0
94990,4.026524762534791,7.0
256942,5.0468970238766815,2.0
204386,6.26297296614689,20.0
1127,9.933025674329429,4.0
116866,9.225593474947004,4.0
357454,5.544971353630444,10.0
277908,5.970190021005692,2.0
152409,8.12119920563839,2.0
409300,3.8683373272351673,27.0
150115,6.194493413675673,7.0
267918,7.524045397440204,5.0
264893,6.2186984917955215,23.0
213227,6.986042764075137,2.0
522118,6.412062208799398,4.0
216481,9.857689725951104,6.0
375276,6.52217807970942,6.0
559866,6.382306166156923,5.0
3569,5.828949226892291,3.0
92116,6.238647955731267,10.0
546438,14.559160151804008,21.0
430755,3.338842137534357,3.0
232404,5.084481030148936,3.0
306170,7.492318135909045,2.0
115400,6.872685533276126,6.0
483451,6.018856329945038,6.0
149173,3.9493210137552524,2.0
214988,10.957983955458644,19.0
347282,3.632167045466531,7.0
188582,7.468574468823249,15.0
94724,4.427297819739124,3.0
340515,4.3874035216740594,27.0
